matchId,blueTeamDragonKills,blueTeamFirstBlood,redTeamDragonKills,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueTeamTotalDamageToChamps_diff,blueWin
EUW1_6874723759,1,0,1,-1,29,1,0,1,0,4,-27,4,1165,-1671,495,1
EUW1_6864480687,1,1,1,2,-61,17,0,4,0,3,84,41,12508,7992,18105,1
EUW1_6864456505,1,1,1,-3,-119,-4,0,-1,0,-2,-25,-11,-2864,-1117,-9090,0
EUW1_6864415903,0,0,2,-1,-17,-3,0,1,0,-6,12,-24,-169,-846,-9,1
EUW1_6864359845,2,1,0,1,9,13,0,0,0,-12,-24,0,2950,1981,13321,1
EUW1_6864246013,1,1,1,3,7,8,0,-2,0,0,36,-7,5284,1626,2178,0
EUW1_6863528830,1,1,0,-1,-6,8,1,0,0,1,-39,12,3160,2532,8297,1
EUW1_6863195458,0,0,2,2,9,-1,0,0,0,-2,54,-33,618,-394,5987,0
EUW1_6863163174,0,1,1,-2,-1,-5,-1,0,0,-1,-1,-11,-1307,-1969,1315,0
EUW1_6863143319,0,0,2,-7,-7,-7,-1,-2,0,-9,-47,1,-6066,-2648,-13281,0
EUW1_6863127651,2,0,0,2,-3,-4,0,2,0,-2,15,24,3385,-683,-3704,1
EUW1_6863077193,0,1,1,2,12,2,0,2,0,0,-10,35,2468,2326,5204,0
EUW1_6863025209,1,1,1,3,-1,9,1,0,0,-2,-21,28,2144,4862,3913,0
EUW1_6862951213,1,0,1,-1,-12,-6,0,-1,0,-9,-22,35,-1823,-237,-2384,1
EUW1_6862911105,0,1,2,-4,123,-11,0,-2,0,-11,-47,-20,-6372,-6489,-8559,0
EUW1_6862824390,1,1,0,-4,29,-2,1,-1,0,-4,-22,1,-1694,-137,-2104,0
EUW1_6862780396,1,1,0,5,-7,17,0,2,0,2,54,-7,9221,5288,22162,1
EUW1_6862738562,1,1,0,3,2,8,0,2,0,5,128,-27,7794,4238,7029,1
EUW1_6862677059,2,1,0,3,15,10,1,0,0,-5,11,-15,4339,2638,6859,1
EUW1_6883624747,1,0,0,-2,5,-1,0,1,0,-9,-13,-28,-1316,-865,-280,0
EUW1_6883596189,1,1,1,-1,-50,-5,-1,0,0,-3,8,-1,-928,-849,-4101,0
EUW1_6883568403,0,1,2,-4,4,-5,1,0,0,-11,-16,19,-886,-57,16209,0
EUW1_6883543598,1,0,1,2,-13,4,1,1,0,-1,-27,-8,3276,556,6003,1
EUW1_6883489436,1,1,0,3,-134,3,-1,-1,0,-6,-15,-27,-1631,-1546,-182,0
EUW1_6883065543,0,0,1,1,25,10,1,2,0,1,70,9,8383,3565,9704,1
EUW1_6882995021,0,0,1,-1,-1,0,-1,-2,0,-15,-26,-21,-2866,-2556,4128,0
EUW1_6881492370,0,1,1,0,-28,-5,0,-1,0,-1,-2,0,-2326,-2167,-3165,1
EUW1_6881448889,1,0,1,6,13,4,1,-1,0,-8,33,4,1502,3140,7488,1
EUW1_6881371161,0,0,2,-4,-20,-10,-1,-1,0,-12,-27,-3,-6873,-2434,-14444,0
EUW1_6881312803,1,0,1,0,-6,-1,1,0,0,-5,14,15,-1469,1351,-610,1
EUW1_6881225619,1,1,1,1,2,2,0,-1,0,-9,19,53,2497,3551,-572,1
EUW1_6881179280,2,1,0,0,-1,10,0,0,0,4,97,25,8417,6226,11148,1
EUW1_6881136470,0,1,1,2,5,4,0,-1,0,-2,10,12,1518,1541,-2565,1
EUW1_6881091792,0,1,2,1,-1,-2,0,-2,0,-9,-9,4,-2654,-643,-917,1
EUW1_6881063725,0,1,2,-5,-2,-14,-1,-1,0,-10,-30,20,-6786,-5750,-14895,0
EUW1_6881014047,0,0,1,1,-2,8,1,-1,0,-7,13,-13,3915,2796,4701,1
EUW1_6879952466,0,0,2,-5,-2,-7,-1,-2,0,-2,22,0,-3262,-2977,-3566,0
EUW1_6879700329,0,0,2,-3,-123,-6,0,-3,0,-13,-14,-12,-7590,-2673,-7814,0
EUW1_6879678749,1,0,1,-1,15,-9,0,-2,0,-8,-23,26,-5587,-2747,187,0
EUW1_6879293819,0,1,2,-4,-10,-3,0,-1,0,-6,-23,-4,-2856,-2162,-441,1
EUW1_6878636197,1,0,0,-1,2,-7,0,-1,0,-5,-22,27,-2247,-642,-4414,0
EUW1_6878495881,0,1,1,3,2,-6,-1,-1,0,-3,1,-28,-2444,-3314,-1341,0
EUW1_6878059794,2,1,0,3,-1,4,0,1,0,-4,-16,1,2314,1244,9821,1
EUW1_6878021848,1,0,1,-1,-8,11,0,2,0,0,26,-12,6011,4537,6918,1
EUW1_6877984333,1,0,0,2,-27,-4,0,1,0,-1,15,28,-384,-9,201,1
EUW1_6877946990,1,1,1,4,-13,3,0,-2,0,-6,-13,0,43,779,-646,1
EUW1_6877003470,0,1,2,-2,-5,-10,0,-3,0,-15,-65,3,-6815,-4790,-24401,0
EUW1_6876618355,2,1,0,-1,46,-2,0,-2,0,-12,-13,-10,-3484,-476,-329,0
EUW1_6876501861,1,1,0,0,-18,-5,1,-1,0,-9,-29,22,-3162,-1300,-1191,0
EUW1_6876488638,0,1,1,-2,-8,3,0,1,0,-6,56,-40,1731,604,171,1
EUW1_6876468305,0,1,2,-7,11,-3,0,-2,0,-10,-81,-4,-4302,-2921,-10269,0
EUW1_6876463779,0,0,1,2,-115,-3,0,-1,0,-7,-29,20,-1993,-767,-12453,0
EUW1_6876339607,0,0,0,-2,-61,-4,0,-2,0,-12,-54,25,-3751,-1578,-692,0
EUW1_6883759466,0,0,1,-1,-1,1,0,0,0,-11,15,24,225,485,181,1
EUW1_6882444361,0,0,1,1,-6,0,1,1,0,1,-15,50,1903,1958,-1143,0
EUW1_6882416285,1,0,0,-1,-1,2,0,0,0,-11,-55,-22,-200,-2131,464,0
EUW1_6882393321,0,0,1,-5,-13,0,0,1,0,-3,64,6,2368,2328,3765,0
EUW1_6880882311,1,0,1,1,-1,1,0,0,0,-11,30,4,517,1849,986,1
EUW1_6880868998,1,1,1,0,5,6,0,0,0,-10,32,-8,2458,2680,-217,1
EUW1_6880848238,0,1,1,4,10,-1,0,0,0,-3,43,13,1239,562,6389,1
EUW1_6880837667,0,1,1,-2,-54,-2,0,1,0,-2,28,48,1737,-1207,4125,1
EUW1_6880813066,0,1,2,-1,-341,-7,0,-1,0,-4,-32,16,-3254,-4469,-3923,0
EUW1_6880800163,0,0,1,-2,2,-1,0,-1,0,-10,-35,19,-1105,-268,-4585,0
EUW1_6880764800,0,0,2,-4,-46,-6,0,-2,0,-8,5,-27,-3529,-2183,-385,0
EUW1_6880748539,0,1,0,-1,-2,3,1,2,0,-1,18,6,2192,73,2907,1
EUW1_6880718032,0,0,2,-2,-22,-5,0,-1,0,-9,-2,-3,-2678,-2113,1057,0
EUW1_6880688900,0,0,1,-3,-6,-9,0,-1,0,-8,-30,-61,-3891,-3329,-16345,0
EUW1_6880620085,1,0,1,0,-1,-1,-1,-2,0,-10,-36,-17,-3576,-2829,583,0
EUW1_6880513440,2,1,0,-3,-3,7,0,1,0,-4,25,16,5001,971,4614,1
EUW1_6880470526,0,1,2,3,-5,3,0,1,0,-1,27,29,4183,2227,-2631,1
EUW1_6880348899,1,0,0,1,10,0,0,0,0,-2,22,1,622,1705,-8214,1
EUW1_6876473980,0,0,1,1,1,4,-1,0,0,-3,31,12,1139,1221,2864,1
EUW1_6876464976,1,0,0,3,-12,5,0,-2,0,-15,-98,-26,-3338,227,3088,1
EUW1_6863534576,1,1,1,-3,4,-8,0,-1,0,-10,-18,-16,-4580,-3256,-9834,0
EUW1_6862230260,2,1,0,3,-7,0,0,-2,0,-11,-46,19,-1661,779,-1164,1
EUW1_6862158915,2,0,0,-4,2,-4,0,-1,0,-9,-5,-28,-2807,-1080,-10349,0
EUW1_6862117425,1,0,0,-2,-101,1,0,-1,0,-6,40,8,1109,405,739,1
EUW1_6862094168,0,0,2,1,5,-15,0,-1,0,-11,-64,-51,-9415,-6133,-14600,0
EUW1_6862072185,1,1,1,3,-5,0,0,0,0,-7,-18,10,120,1574,1683,0
EUW1_6861982876,2,0,0,1,-4,-1,0,-1,0,-12,-84,-7,-3353,-1922,2588,0
EUW1_6861812123,1,1,1,4,-1,10,0,0,0,-5,-7,-12,2458,-7,793,0
EUW1_6861127568,1,0,1,-2,1,-4,0,-2,0,-8,-92,-8,-4989,-3793,-8384,0
EUW1_6861078266,2,0,0,6,6,-5,0,0,0,-7,-20,-2,-4101,-2449,-13356,0
EUW1_6860728053,1,1,1,2,23,-5,0,-3,0,-3,30,-18,-2050,-2400,-3930,0
EUW1_6860725493,0,0,1,33,41,-22,1,-6,0,-14,-124,-41,-13998,-9974,-12485,0
EUW1_6860697354,2,0,0,-1,274,3,1,2,0,3,37,-3,3586,1763,5863,1
EUW1_6860685788,0,1,0,4,2,18,0,2,0,0,106,-3,10822,6958,12092,1
EUW1_6860648582,2,1,0,8,47,7,0,3,0,5,63,-1,5578,2792,3357,1
EUW1_6860577222,2,1,0,-5,-73,-7,1,0,0,-5,-8,0,-3375,-3643,-10006,1
EUW1_6860517553,0,1,1,2,4,7,0,1,0,-5,-5,-11,2948,2090,6971,1
EUW1_6871880040,1,1,1,0,-1,6,-1,-1,0,0,29,3,1502,1961,2486,1
EUW1_6871736587,0,0,1,0,117,6,0,2,0,1,51,11,4696,2048,12363,1
EUW1_6869320210,1,1,1,2,0,2,-1,0,0,0,-12,-20,1914,-1267,-12517,1
EUW1_6866991701,0,1,2,-1,-10,3,0,0,0,-2,13,-20,-455,-67,-4667,1
EUW1_6866708992,1,1,0,5,10,6,0,-1,0,-2,30,-16,4215,927,7272,1
EUW1_6866647921,1,0,1,-1,46,-1,0,0,0,-7,12,-7,-73,1305,1280,1
EUW1_6866581032,0,1,2,1,0,-3,0,-1,0,-1,35,-8,-870,-1760,743,1
EUW1_6865468953,0,0,1,-5,6,0,0,0,0,-4,9,7,-167,-359,916,1
EUW1_6863799804,1,1,1,6,15,1,0,1,0,-6,19,4,1046,34,-1003,0
EUW1_6863742071,2,1,0,0,-8,10,-1,1,0,0,-3,8,3948,1549,5343,1
EUW1_6863488074,1,0,1,2,-61,-7,0,0,0,-3,-15,-7,-3234,-3382,-6120,0
EUW1_6863469483,1,1,1,0,-12,17,0,0,0,1,80,7,9505,8032,10084,1
