matchId,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamDragonKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamFirstBlood_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueWin
EUN1_3564336169,0,3,2,2,0,0,0,4,-397,275,-26657,-2875,2262,1
EUN1_3564313564,5,-3,7,2,1,1,0,9,-393,217,-25847,-492,4737,1
EUN1_3564298516,0,0,5,0,-1,-1,0,7,-341,237,-27194,-1775,-5900,1
EUN1_3564289140,2,-57,14,1,1,2,0,-5,-344,312,-22945,4818,13247,1
EUN1_3564270602,-8,-15,-7,-2,0,-3,0,7,-338,217,-31690,-3478,-11277,0
EUN1_3564268238,2,0,-11,-1,0,0,0,6,-325,216,-28576,-5984,-8579,0
EUN1_3564242228,-1,1,-1,0,0,-1,0,6,-351,266,-28423,-2989,-2596,0
EUN1_3564220034,5,0,5,-2,0,1,0,4,-354,277,-26965,-961,1291,1
EUN1_3564225211,-4,-13,-14,-2,-1,-3,0,11,-398,230,-31257,-12487,-3470,0
EUN1_3564204054,3,0,-7,0,0,-1,0,9,-343,256,-29700,-5774,-13528,0
EUN1_3564199975,-3,179,-15,0,1,-1,0,5,-351,219,-30891,-10305,-7482,0
EUN1_3563726846,3,-63,-5,1,0,2,0,4,-322,278,-26455,-2546,-1139,0
EUN1_3563709526,0,-4,-1,-1,0,-1,0,8,-365,170,-26244,-4803,-1145,0
EUN1_3563682697,8,11,2,-2,0,-1,0,2,-348,237,-26580,-2490,-140,0
EUN1_3563667963,-6,60,-13,-2,0,-1,0,6,-363,226,-30193,-7085,-12373,0
EUN1_3563658446,1,-1,-3,-1,0,0,0,-1,-348,252,-25933,-3790,2034,0
EUN1_3563645003,1,3,8,0,0,0,0,-3,-379,289,-23530,-1168,7484,1
EUN1_3565690567,-3,108,-14,-2,0,-2,0,12,-372,212,-31932,-8756,-9451,0
EUN1_3565670868,-3,-113,1,-2,0,1,0,2,-329,253,-26502,330,377,1
EUN1_3565527055,-3,84,-16,-2,0,-1,0,11,-391,263,-32574,-8309,-8606,0
EUN1_3565518729,-2,-20,5,-2,0,0,0,5,-314,253,-27892,1665,-7435,0
EUN1_3565503655,3,-95,1,0,0,0,0,1,-317,260,-29601,2749,-7250,1
EUN1_3565459091,-2,3,-1,-2,0,0,0,6,-328,270,-28553,-1332,-5075,1
EUN1_3565430411,1,24,6,0,0,-1,0,5,-328,287,-22644,688,4960,1
EUN1_3565393751,-4,-16,5,-1,0,1,0,0,-294,243,-24510,24,-4744,0
EUN1_3565373277,-2,-11,-4,-1,0,-2,0,9,-317,222,-29192,-2452,-9466,0
EUN1_3565346733,1,0,14,1,0,-1,0,7,-315,220,-25245,714,-5301,1
EUN1_3565334146,2,210,5,0,1,2,0,3,-323,236,-26569,3516,260,1
EUN1_3565308394,3,4,3,-2,1,1,0,1,-323,210,-29858,1065,-4948,0
EUN1_3565294198,5,6,-9,-2,0,-2,0,9,-349,207,-32085,-5074,-7594,0
EUN1_3565270957,2,18,11,2,0,-2,0,6,-363,251,-25832,439,-2063,1
EUN1_3565263564,-6,-2,7,1,0,2,0,-4,-323,284,-24109,967,1526,1
EUN1_3565220002,-3,2,-19,-2,0,-2,0,15,-336,200,-33639,-6533,-21298,0
EUN1_3565213388,-2,-248,0,-1,0,-2,0,2,-324,286,-25559,-438,1011,1
EUN1_3565198613,-2,1,0,0,0,0,0,-2,-274,222,-28734,97,-8245,1
EUN1_3565183036,0,13,-4,0,0,-1,0,7,-339,276,-26924,-4210,402,1
EUN1_3576141506,-2,-2,-2,2,1,1,0,6,-302,302,-25204,-649,-3191,0
EUN1_3575519463,0,0,-5,0,0,0,0,1,-337,263,-26396,-5399,-4346,1
EUN1_3575491334,-4,17,2,-2,0,-1,0,7,-337,281,-27135,-803,2085,0
EUN1_3574861964,2,16,4,2,-1,-1,0,4,-341,248,-27740,-1210,368,0
EUN1_3574780719,-4,70,1,-2,0,2,0,4,-314,232,-25467,-2240,1988,1
EUN1_3574309837,-3,1,1,-2,0,-1,0,13,-346,252,-28203,-2662,-5330,0
EUN1_3574174985,1,3,6,0,0,0,0,3,-359,289,-24994,-517,6952,1
EUN1_3574168328,-1,68,3,-1,1,-1,0,8,-366,238,-29257,1359,-3765,0
EUN1_3574119648,2,4,-2,-1,0,-1,0,9,-366,244,-24761,-5768,3410,1
EUN1_3573486534,1,-11,-5,0,0,-1,0,5,-380,276,-29132,-6194,-3731,1
EUN1_3573476039,-2,-13,-16,-2,0,-6,-1,15,-401,195,-33872,-9410,-8612,0
EUN1_3573472514,0,-6,7,-2,0,1,0,1,-334,299,-23192,1641,5438,1
EUN1_3573457451,3,-9,-4,-2,0,0,0,14,-363,258,-30622,-3859,-11792,0
EUN1_3573442646,-3,1,-6,1,0,0,0,5,-330,258,-28439,-3869,-3868,1
EUN1_3573416844,-2,1,-1,-2,0,-1,0,3,-326,258,-28457,-1461,-2016,0
EUN1_3573396532,1,-3,10,0,0,1,0,9,-361,316,-27574,2555,4130,1
EUN1_3573263899,-4,-6,12,1,0,0,0,-1,-323,256,-24277,1042,186,1
EUN1_3572709892,-1,-3,-7,2,0,-2,0,9,-322,180,-31760,-4966,-17946,0
EUN1_3569812265,0,-1,2,0,0,0,0,1,-364,238,-27989,-1458,-3533,1
EUN1_3568086709,1,14,-16,-1,0,-2,0,10,-314,250,-32945,-2106,-13623,0
EUN1_3568080089,-4,-7,-2,-2,-1,0,0,3,-381,228,-27514,-5178,-1480,0
